promedio_actual,tareas_no_entregadas,reprobaciones_previas,dias_desde_ultima_conexion,minutos_uso_semanal,dias_atraso_pagos,tipo_matricula_beca,nivel_socioeconomico,modalidad_matricula,desercion
6.7,2,0,0,626,0,0,Medio,Ordinaria,0
7.4,13,3,32,0,107,0,Bajo,Ordinaria,1
7.9,2,0,3,1196,7,1,Alto,Ordinaria,0
8.1,1,0,4,307,0,1,Medio,Ordinaria,0
8.4,0,0,4,878,2,1,Medio,Ordinaria,0
8.7,0,1,4,1034,6,1,Bajo,Ordinaria,0
4.4,8,4,43,59,111,1,Medio,Ordinaria,0
6.9,0,0,0,525,4,0,Alto,Extraordinaria,0
9.1,2,1,0,1181,2,1,Alto,Ordinaria,0
7.5,1,1,4,408,1,0,Bajo,Extraordinaria,0
10.0,1,1,0,976,8,1,Alto,Ordinaria,0
